customer_id,first_name,last_name,email,phone_number,address_line1,city,state,zip_code,registration_date
1,Lucas,Hall,jwagner_0@khan.com,5505521396,05893 Johnson Square,Jacksonside,MI,72526,2022-04-18
2,Tracy,Moore,marshallcharles_1@byrd.com,1011039905,80546 Wallace Run Suite 209,East Ashleychester,GA,21903,2024-02-09
3,Christine,Walker,ffriedman_2@chapman-torres.com,6761321468,7238 Shaffer Streets,Justinchester,UT,40693,2023-09-19
4,Nicholas,Rush,paul36_3@levy-rowland.com,7777961008,8184 Hernandez Row Suite 452,Jesseview,MO,43307,2024-07-01
5,Jerry,Macdonald,kayla05_4@merritt.net,5551766287,64836 Chavez Village Apt. 332,Kimfort,TN,89201,2025-07-30
6,Wayne,Lee,joshuawilliams_5@james.info,6365178862,4972 Kelsey Underpass Apt. 186,South Ashley,NV,38790,2023-06-09
7,Paige,Johnston,smithalexander_6@case.com,2851865603,31607 Michele Radial Apt. 269,Patelport,NH,88526,2022-06-18
8,Patrick,Townsend,justincarlson_7@hanson.biz,6027023812,605 Shawn Underpass Suite 800,Noblemouth,VT,36379,2021-04-08
9,Derrick,Snyder,lopezmary_8@miles.com,0101097619,471 Cherry Junctions Suite 415,Port Gary,IL,12064,2023-01-18
10,Mark,Shaw,ibrown_9@perez.com,1272751282,24131 Cox Branch,Phillipsborough,MN,34500,2024-03-20
11,Jesse,Gardner,baxterjonathan_10@peterson.com,8276707333,65173 Sarah Centers,Velasquezstad,ID,74139,2022-11-25
12,Maurice,Mendoza,jessicacooley_11@norton.com,3023611997,8397 Michael Hills Suite 312,New Larryfort,TX,50587,2023-09-19
13,Audrey,Meyer,perezsharon_12@gonzalez-miller.info,6146205291,4984 Hill Drive Suite 450,Andrewchester,NE,36899,2023-05-14
14,Kevin,Wang,silvamary_13@young-butler.com,6261662407,86465 Boyd Unions,North Martin,SC,04018,2024-07-16
15,Keith,Gates,figueroakelly_14@jones.com,7503547149,6764 Lisa Ways,West Martin,MD,92527,2021-06-22
16,Nicole,Lyons,melissa24_15@adams-wilcox.com,8242437037,87244 Geoffrey Parkways,Lake Ross,NJ,67722,2021-08-09
17,Kenneth,Chang,stacey75_16@leonard-bowen.info,4190911208,5635 Davidson Isle,Thompsonton,TX,46297,2024-07-08
18,Dawn,Miller,jocelynowens_17@silva.com,7259139011,69881 Pennington Bridge Apt. 189,Lake Angel,OH,78412,2023-01-28
19,Catherine,Welch,echoi_18@fisher.biz,0743661190,69155 Hopkins Neck Suite 674,Whitemouth,WA,74145,2020-01-17
20,Christopher,Palmer,zpeterson_19@nguyen.net,3167200498,106 Perry Plains Suite 269,New Donaldport,HI,08726,2022-05-24
21,Cameron,Aguilar,josephscott_20@sharp-davidson.com,4620668597,06501 Laura Summit,South Kim,GA,03725,2020-12-17
22,Jimmy,Perez,richard79_21@smith.com,0696778165,6913 Melissa Fields,New Stephanieland,OR,09271,2023-12-28
23,John,Moore,anita32_22@hawkins.com,3638054233,323 Nelson Circle,Hayleyhaven,KS,39158,2020-05-13
24,Wendy,Rogers,qbaldwin_23@odonnell-steele.com,3072990830,469 Curtis Plaza,Aaronburgh,MH,44354,2020-09-07
25,Mary,Curtis,warrenmichael_24@adams.biz,8446087451,4295 Ibarra Coves,Howellport,SC,09940,2020-10-10
26,Cheryl,Hernandez,aaron81_25@howard.com,4805190639,9815 Richard Station,Julianport,MD,08535,2021-06-23
27,Felicia,Cooper,robert92_26@mitchell-caldwell.com,5192762923,4792 Evans Isle Apt. 450,Tannerfurt,AL,69056,2025-04-27
28,Mike,Sanchez,darrellbell_27@gibson.com,5152728236,2790 Anthony Walk,Port Karentown,CT,04552,2021-01-09
29,Erica,Baker,fowlersierra_28@ellison.info,8668829355,7712 Soto Parks Apt. 967,Lake Roberthaven,MI,14605,2021-11-19
30,Shawn,Campbell,codynicholson_29@morris-hernandez.com,7154893137,39634 Foley Court Apt. 567,West Mary,WI,50546,2024-11-04
31,Jasmine,Knapp,derrick25_30@harding.net,4689421815,93253 Shea Street,Jenniferfort,KS,60827,2020-11-23
32,Anthony,Rollins,ujacobs_31@roberts.com,1383188097,4053 Lamb Locks,Morganfurt,SD,83608,2021-08-17
33,Shannon,Brown,justinhorne_32@norman.com,1232843624,41530 Howard Village,North Melindastad,IL,92708,2021-05-25
34,Ashley,Macias,stephanie11_33@wilson.com,2934481329,6468 Laura Spurs Apt. 643,East Anna,MI,09319,2024-03-20
35,Stephanie,Richard,bellnancy_34@torres.com,7318794370,4783 Eric Inlet Suite 702,Jamesview,AZ,10679,2022-01-01
36,John,Fleming,mwhite_35@gallegos.com,4309334137,551 Mackenzie Center Apt. 422,Robertsborough,IN,46697,2023-01-05
37,April,Hunter,hbarajas_36@jenkins-leon.com,3534091852,5201 Diane Mission Apt. 397,Chapmanport,AZ,60810,2025-07-12
38,Kara,Smith,floresrobert_37@brown.info,3479604640,27040 Tracey Street,Carlosside,MH,07685,2021-07-30
39,Mark,Green,wutaylor_38@smith-benitez.org,3892576042,554 Hudson Circle Suite 260,South Jessicaville,DE,14910,2022-08-28
