supplier_id,supplier_name,contact_person,phone_number,email,address
1,Anderson LLC #0,Shaun Collier,6349141859,supplier_20250819110626_6709@ball.com,"07118 Alexandra Roads Suite 886, Joshuaburgh"
2,Wright-Gardner #1,Richard Lyons,4169027772,supplier_20250819110626_1657@york.biz,"56995 Jefferson Shoal, Port John"
3,Luna and Sons #2,Andrew Wilson,0236532278,supplier_20250819110626_4726@moore.net,"675 Mitchell Mountains Apt. 649, Lake Luketown"
4,Padilla-Fuentes #3,Michelle Collins,8560579763,supplier_20250819110626_6514@mitchell.com,"27596 Steven Springs Suite 332, Tanyaburgh"
5,Cooper-Bolton #4,Shelley Allen,3468955174,supplier_20250819110626_3783@campos.net,"68683 Valencia Stravenue, South Beverlymouth"
6,"Schwartz, Braun and Ashley #5",Alan Gallagher,1715395131,supplier_20250819110626_8556@khan.com,"018 Santana Squares Apt. 153, Gibsonbury"
7,Wilson-Williams #6,Brent Monroe,2605842939,supplier_20250819110626_3644@espinoza.info,"0553 Patterson Forest, Ronaldport"
8,Sanchez Inc #7,Kimberly Arias,8774741106,supplier_20250819110626_2790@ellison.com,"448 Gonzalez Roads Apt. 930, Elizabethstad"
9,"Murphy, Fuentes and Bautista #8",Susan Lawson,4883668964,supplier_20250819110626_2263@cox-reynolds.com,"9392 Erica Point Suite 568, Crystalmouth"
10,Allen PLC #9,Keith Sanchez,8922523775,supplier_20250819110626_2362@schmidt.biz,"3665 Padilla Vista Suite 420, South Reginaldchester"
